NAME,ROLL_NO,BLOG_ID,EMAIL_ID,DIVISION,DIVISION_ID
alektomedea,111501,41,AlektoMedea@mailinator.com,5TH,123456010
briseiskapila,111502,41,BriseisKapila@mailinator.com,4TH,123456009
cajetanlothair,111503,41,CajetanLothair@mailinator.com,6TH A,123456011
calypsophaedra,111504,41,CalypsoPhaedra@mailinator.com,6TH B,123456012
gobnatainnocent,111505,41,GobnataInnocent@mailinator.com,5TH,123456010
hippolytapegasus,111506,41,HippolytaPegasus@mailinator.com,4TH,123456009
kantiskanda,111507,41,KantiSkanda@mailinator.com,6TH A,123456011
kumaripriya,111508,41,KumariPriya@mailinator.com,6TH B,123456012
ledapolymnia,111509,41,LedaPolymnia@mailinator.com,5TH,123456010
trajanmilburga,111510,41,TrajanMilburga@mailinator.com,6TH B,123456012
