NAME,EMAIL_ID,BLOG_ID,DIVISION_1,DIVISION_ID_1,DIVISION_2,DIVISION_ID_2,DIVISION_3,DIVISION_ID_3,DIVISION_4,DIVISION_ID_4,,,DIVISION_5,DIVISION_ID_5
Lula  ,teacher1@mailinator.com,9,PLAY GROUP,123456901,6th A,123456911,,,,,,,,
Brooke  ,teacher2@mailinator.com,9,JUNIOR KG,123456902,6th B,123456912,,,,,,,,
Veronika  ,teacher3@mailinator.com,9,SENIOR KG,123456903,6th C,123456913,,,,,,,,
Carri  ,teacher4@mailinator.com,9,1st A,123456904,,,,,,,,,,
Star  ,teacher5@mailinator.com,9,1st B,123456905,,,,,,,,,,
Ula  ,teacher6@mailinator.com,9,2nd,123456906,,,,,,,,,,
Chau  ,teacher7@mailinator.com,9,3rd,123456907,,,,,,,,,,
Dann  ,teacher8@mailinator.com,9,4th A,123456908,,,,,,,,,,
Deann  ,teacher9@mailinator.com,9,4th B,123456909,,,,,,,,,,
Sandra  ,teacher10@mailinator.com,9,5th,123456910,,,,,,,,,,
